"","week","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York City","New York","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",2,0.606530659712633,0.406569659740599,0.740818220681718,0.740818220681718,0.740818220681718,0.818730753077982,0.449328964117222,0.406569659740599,0.818730753077982,0.548811636094026,0.818730753077982,0.90483741803596,0.740818220681718,0.606530659712633,0.740818220681718,0.818730753077982,0.49658530379141,0.49658530379141,1,0.818730753077982,0.818730753077982,0.740818220681718,0.818730753077982,0.740818220681718,0.670320046035639,0.49658530379141,0.606530659712633,0.740818220681718,1,0.670320046035639,0.606530659712633,0.818730753077982,0.90483741803596,0.818730753077982,0.367879441171442,0.548811636094026,0.49658530379141,0.818730753077982,0.201896517994655,0.740818220681718,0.606530659712633,0.740818220681718,0.606530659712633,0.90483741803596,0.90483741803596,0.740818220681718,0.740818220681718,0.246596963941606,0.818730753077982,0.670320046035639
"2",3,0.789214183765368,0.653166623682206,0.906117108903304,0.890386839904353,0.906117108903304,0.954066036314595,0.672459124265651,0.629699819889029,0.954066036314595,0.750708154088682,0.941187181330964,1.00509626175876,0.876153503918331,0.829660819861063,0.8632746489347,0.929533911440316,0.698481821786065,0.719715463939839,1.0202419114458,0.941187181330964,0.941187181330964,0.890386839904353,0.885936265817732,0.8632746489347,0.819888665258274,0.769117096825422,0.808427177707289,0.876153503918331,1.03337326996033,0.872216564030295,0.829660819861063,0.909448706367394,0.972042930775709,0.984029641299568,0.669073653083645,0.750708154088682,0.698481821786065,0.941187181330964,0.448493481936262,0.890386839904353,0.85312762365424,0.890386839904353,0.829660819861063,1.01564057639829,0.965647480661177,0.876153503918331,0.923501744734453,0.614476405113049,0.954066036314595,0.835618934257226
"3",4,0.871299182389267,0.788501906918818,0.939490378863631,0.940173908272217,0.955904177271168,0.987439306274921,0.763177077555064,0.752156248142011,0.984263419736913,0.850966997811486,0.968510903778256,1.01866482077096,0.921202706311888,0.903934398075397,0.913061717302564,0.966417078841556,0.809284980148399,0.842171892192821,1.02697985844489,0.978070348732204,0.965910707801303,0.94541005996076,0.919309535778058,0.918297868991107,0.894162243472608,0.934415985047009,0.882700755921623,0.936963566543549,1.03746004139879,0.922003632398159,0.911745818484962,0.950210910345761,0.990358569664443,1.00427155274537,0.851757177136379,0.861511312451016,0.833817105022678,0.990974249698828,0.671623642084692,0.923760109864679,0.92033313639399,0.935436042297911,0.903934398075397,1.03063615321877,0.973094063732102,0.921202706311888,0.98431180735967,0.779775293334635,0.984263419736913,0.90989251247156
"4",5,0.916348384782825,0.870586905542717,0.950599375401873,0.962544680128382,0.976146088716973,0.999716646177989,0.808226279948622,0.819361760881761,0.992493166785933,0.905990217867893,0.982079462790457,1.02689456781998,0.939518345200623,0.934131781497716,0.935432489158729,0.981412655662033,0.876490492888149,0.909377404932571,1.02945861062156,0.994643024133965,0.975962543545937,0.972733782408053,0.937625174666792,0.940668640847273,0.931045410873848,0.971299152448249,0.92774995831518,0.964287288990841,1.04048759614417,0.944374404254324,0.952508022463328,0.968526549234495,1.00041040540908,1.00835832418384,0.926030755350713,0.922321375076234,0.915902103646576,1.01334502155499,0.794080070337674,0.936037449767747,0.95721630379523,0.955677953743715,0.934131781497716,1.03433401693525,0.973840649540479,0.943573478168054,1.00088448276143,0.880034137057439,0.994315255481547,0.940089895893878
"5",6,0.93871915663899,0.925610125599124,0.958045958472797,0.976113239140583,0.987255085255215,1.00794639322701,0.85327548234218,0.874384980938168,0.995520721531309,0.939363487828219,0.98659604373307,1.02892399845628,0.948613622302318,0.95244742038645,0.950428065979207,0.989642402711053,0.913373660289389,0.946260572333811,1.03068952252423,1.00373830123566,0.982059290111452,0.989306457809814,0.945854921715812,0.952945980750341,0.958369133321141,0.979528899497269,0.95247348478552,0.982602927879575,1.04296634832083,0.955483400792567,0.979831744910621,0.977621826336191,1.00714835240816,1.00971869222138,0.953354477798006,0.95569464503656,0.949275373606903,1.02339685729963,0.861285583077423,0.943484032838672,0.977458215241034,0.965729789488349,0.947700340509917,1.0354477920831,0.976083517259964,0.954682474706296,1.00540106370404,0.935057357113846,1.00176183855247,0.960331807339683
"6",7,0.953714733459468,0.936719122137367,0.96174382218928,0.980200010579047,0.993351831820731,1.01293798713392,0.898324684735737,0.907758250898494,0.997024160724286,0.961734259684384,0.988099482926047,1.03116686617577,0.954130186723079,0.964724760289518,0.955944630399968,0.994633996617964,0.935744432145554,0.973584294781104,1.03271895316053,1.00872989514257,0.985086844856828,1.00158379771288,0.952592868714897,0.961175727799361,0.98309265979148,0.985045463918029,0.959211431784605,0.994880267782644,1.04397413374988,0.961580147358082,0.996404420312382,0.982613420243101,1.01324509897368,1.00986942529648,0.964463474336248,0.970690221857037,0.962843932619103,1.02949360386514,0.90204778705579,0.951713779887692,0.984904798311958,0.970721383395259,0.955930087558937,1.03545029013342,0.978562269436631,0.961420421705382,1.00909892742053,0.959780883584186,1.00450128337124,0.969427084441378
"7",8,0.961161316530392,0.956961033583171,0.964222574365946,0.983227565324423,0.996697797278202,1.01702475857238,0.92564840718303,0.932481777368833,0.99825507262696,0.975302818696585,0.989602922119025,1.03171995054591,0.958216958161543,0.970821506855034,0.962041376965483,0.99711274879463,0.950740008966032,0.993826206226908,1.03272080376172,1.01242775885905,0.988784708573311,1.0098135447619,0.95629073243138,0.966167321706271,0.999665335193242,0.985870568841295,0.964727996205366,1.00232685085357,1.04600356438618,0.965278011074565,1.00385100338331,0.984856287962587,1.01776167991629,1.00987498480972,0.971201421335333,0.982967561760106,0.970290515690028,1.03223304868391,0.932245170478108,0.957810526453207,0.987932353057334,0.97406734885273,0.962668034558022,1.03681065817097,0.980065708629608,0.967517168270897,1.0106023666135,0.970889880122428,1.00573219527391,0.969611190235046
"8",9,0.967258063095908,0.973533708984932,0.966465442085432,0.985967010143192,0.999176549454868,1.0231215051379,0.945890318628834,0.950797416257567,0.999080177550226,0.988871377708786,0.991632352755321,1.03338150781909,0.960459825881029,0.976338071275795,0.964284244684969,1.00119952023309,0.961849005504274,1.00739476523911,1.03272121668666,1.01393119805203,0.990145076610859,1.01655149176099,0.959636697888852,0.967527689743819,1.00789508224226,0.987230936878843,0.968073961662837,1.00567281631104,1.04607129312267,0.967114315851594,1.00719696884078,0.986692592739616,1.02184845135475,1.00992515949178,0.976717985756094,0.991197308809126,0.975807080110789,1.03497249350268,0.942297006222742,0.96232710739582,0.993448917478095,0.978583929795343,0.966754805996486,1.03722039314995,0.980068206679934,0.970256613089666,1.01142747153677,0.977627827121514,1.00673998070296,0.969613688285372
"9",10,0.970285617841284,0.976273153803701,0.96663202789642,0.987628567416366,1.00120598009116,1.02448187317545,0.955942154373468,0.956894162823083,0.999246763361213,0.99892321345342,0.991639857313236,1.03339067390682,0.961284930804295,0.980424842714259,0.966527112404455,1.00322895086939,0.96858695250336,1.01562451228813,1.03272273183078,1.01454245081316,0.991258851758704,1.0210680727036,0.960461802812117,0.97087365520129,1.01612482929128,0.987264569974029,0.968985843628392,1.00870037105642,1.0460804592104,0.968617755044572,1.00967572101744,0.98760447470517,1.02458789617352,1.00998061109121,0.97896085347558,0.996713873229887,0.977167448148336,1.03680879827971,0.97249438964506,0.966843688338433,0.997965498420708,0.981929895252814,0.96841636326966,1.03722043454933,0.980068208544943,0.972735365266332,1.01345690217307,0.98010657929818,1.00735123346409,0.970023423264352
"10",11,0.97331317258666,0.986324989548334,0.967243280657549,0.988304106191559,1.00304228486819,1.02489160815443,0.957971585009764,0.959372914999749,0.999471630685392,1.00566116045251,0.991639874144967,1.03354140698192,0.962292716233343,0.984511614152723,0.967202651179649,1.00525838150569,0.974683699068875,1.02236245928721,1.03273943353157,1.01577336271583,0.992489763661377,1.02605966661051,0.961286907735383,0.971987430349135,1.02111642319819,0.993361316539545,0.968986859259863,1.01053667583344,1.04617188344188,0.969848666947245,1.01337358473393,0.988104926138611,1.02828575989001,1.01000552710094,0.981700298294348,0.999192625406553,0.97839836005101,1.038838228916,0.981589666746756,0.968505245611607,0.997967996471034,0.983043670400659,0.969776731307208,1.03722872836849,0.980095744994293,0.975474810085101,1.01376044131115,0.987553162369104,1.00885467265707,0.970023700056218
